Source: dtm
X;Y;Z;M
274175.0775000015;7038352.782300003;167.617492676;0
274170.095922358;7038352.3534828145;167.535583496;5.0006708663388775
274165.1143447144;7038351.924665626;167.73500061;10.004646004728173
274160.13276707084;7038351.495848437;167.925109863;15.008258852317113
274155.1511894273;7038351.0670312485;168.141479492;20.012938244249803
274150.1696117837;7038350.63821406;168.360427856;25.01772978699765
274145.18803414016;7038350.209396872;168.311737061;30.017966860697243
274140.2064564966;7038349.780579683;168.394760132;35.01865609619273
274135.22487885307;7038349.351762495;168.677566528;40.0266476554209
274130.24330120947;7038348.922945306;168.773376465;45.0275655256812
274125.2617235659;7038348.494128117;168.328170776;50.047347204718655
274120.2801459224;7038348.065310929;167.892532349;55.06628940788868
274115.2985682788;7038347.636493741;167.341323853;60.09658073208897
274110.31699063524;7038347.207676552;166.252243042;65.21381602202537
274105.3354129917;7038346.778859364;165.260513306;70.31122005436858
274100.3538353481;7038346.350042175;164.205917358;75.4212271595103
274095.37225770456;7038345.921224986;163.871322632;80.43241001691524
274090.390680061;7038345.492407798;163.727310181;85.43448354553567
274085.40910241747;7038345.0635906095;163.559539795;90.43729744394332
274080.42752477387;7038344.634773421;163.505340576;95.43759119087483
274075.4459471303;7038344.205956232;163.384109497;100.43906067243685
274070.4643694868;7038343.777139043;163.289306641;105.43995934979354
274065.4827918432;7038343.348321855;163.148529053;110.44194079013747
274060.50121419964;7038342.919504667;163.062408447;115.44268241098331
274055.5196365561;7038342.490687478;162.697387695;120.45598872010434
274050.5380589125;7038342.06187029;162.014297485;125.50243422513657
274045.55648126896;7038341.633053101;161.189025879;130.5700838997047
274040.5749036254;7038341.204235912;160.555252075;135.61009076818405
274035.5933259818;7038340.775418724;159.003265381;140.84541909586466
274030.61174833827;7038340.346601536;158.866699219;145.8472837797886
274025.6301706947;7038339.917784347;159.321365356;150.86791335144758
274020.6485930512;7038339.488967159;160.00302124;155.9141649052124
274015.6670154076;7038339.0601499695;160.460693359;160.93506758994656
274010.68543776404;7038338.631332781;161.114959717;165.9776923496221
274005.7038601205;7038338.202515593;161.821533203;171.0273701701172
274000.7222824769;7038337.773698404;162.511779785;176.0747893467088
273995.74070483336;7038337.344881216;163.234710693;181.12678193354262
273990.7591271898;7038336.916064027;163.858566284;186.16555120777048
273985.7775495462;7038336.487246838;164.498214722;191.20630017240836
273980.79597190267;7038336.05842965;165.020935059;196.23354957445673
273975.8143942591;7038335.629612462;165.911010742;201.3121551627211
273970.8328166156;7038335.200795273;165.856048584;206.31245723744559
273965.851238972;7038334.771978085;166.162475586;211.32183818800394
273960.86966132844;7038334.343160896;166.900543213;216.37601901406333
273955.8880836849;7038333.914343707;167.242706299;221.38771289708365
273950.9065060413;7038333.485526519;167.931503296;226.43493404374823
273945.92492839776;7038333.0567093305;168.306045532;231.4489426083829
273940.9433507542;7038332.627892142;168.847259521;236.47814856773388
273935.9617731106;7038332.199074953;169.835128784;241.5748029293559
273930.98019546707;7038331.7702577645;170.668579102;246.64379093804723
273925.9986178235;7038331.341440576;171.467788696;251.70726168199587
273921.0170401799;7038330.912623388;172.124435425;256.75019584049613
273916.0354625364;7038330.483806199;172.667037964;261.77955141701
273911.05388489284;7038330.054989011;173.070602417;266.79581140502967
273906.0723072493;7038329.626171822;173.86706543;271.85884935981113
273901.0907296057;7038329.197354633;174.630645752;276.9168188049944
273896.10915196216;7038328.768537445;175.3775177;281.972292838791
273891.1275743186;7038328.339720257;175.957138062;287.00577669827913
273886.145996675;7038327.910903068;176.658996582;292.05479693812356
273881.16441903147;7038327.48208588;177.136947632;297.0775887122148
273876.1828413879;7038327.053268691;178.0809021;302.16591358766624
273871.2012637443;7038326.624451502;179.118865967;307.2725141192782
273866.2196861008;7038326.195634314;180.424240112;312.44010559482234
273861.23810845724;7038325.7668171255;182.637557983;317.90808291717565
273856.2565308137;7038325.337999937;184.156097412;323.13359360964483
273851.2749531701;7038324.909182748;185.900650024;328.4292015839096
273846.29337552655;7038324.480365559;187.386047363;333.645177547657
273841.311797883;7038324.051548371;187.520370483;338.64698149226024
273836.3302202394;7038323.622731183;188.171417236;343.68918952791824
273831.34864259587;7038323.193913994;188.462463379;348.6976531503315
273826.3670649523;7038322.765096806;189.411804199;353.7869800205768
273821.3854873087;7038322.336279617;190.900909424;359.0040131211219
273816.4039096652;7038321.907462428;192.21295166;364.1732930350683
273811.42233202164;7038321.47864524;193.074920654;369.2470481086109
273806.44075437804;7038321.049828052;193.706634521;374.2867963572858
273801.4591767345;7038320.621010863;194.16003418;379.3073113956523
273796.47759909095;7038320.192193675;192.824111938;384.4827039639849
273791.4960214474;7038319.763376486;190.388626099;390.04432164883616
273786.5144438038;7038319.334559297;189.766616821;395.082862662084
273781.53286616027;7038318.905742109;188.722961426;400.1906230894332
273776.5512885167;7038318.47692492;188.210952759;405.21677001076023
273771.5697108731;7038318.048107732;186.979598999;410.36616143912613
273766.5881332296;7038317.619290543;185.494628906;415.5820157485931
273761.60655558604;7038317.190473354;184.086700439;420.77646110569054
273756.62497794244;7038316.761656166;182.37538147;426.0612139489105
273751.6434002989;7038316.332838978;180.794067383;431.30531103434157
273746.66182265535;7038315.904021789;179.893920898;436.385691304965
273741.6802450118;7038315.475204601;176.573822021;442.38761237681683
273736.6986673682;7038315.046387412;173.789855957;448.11041475384894
273731.71708972467;7038314.617570223;171.757476807;453.50768860358426
273726.7355120811;7038314.188753035;169.462142944;459.0093753942255
273721.7539344375;7038313.759935847;168.447158813;464.11135469508946
273716.772356794;7038313.331118658;167.396987915;469.22045039929077
273711.79077915044;7038312.90230147;166.665161133;474.27372363933375
273706.80920150684;7038312.4734842805;166.394271851;479.28105636286665
273701.8276238633;7038312.044667092;165.986404419;484.29766436447176
273696.84604621975;7038311.615849904;165.657333374;489.30848143879604
273691.86446857615;7038311.187032715;165.386108398;494.3158323340168
273686.8828909326;7038310.758215527;165.366027832;499.3158726567355
273681.90131328907;7038310.329398338;165.28086853;504.31659781486985
273676.9197356455;7038309.900581149;165.279266357;509.3165980715339
273671.9381580019;7038309.471763961;165.229553223;514.3168452050219
273666.9565803584;7038309.042946773;166.048950195;519.3835415051177
273661.97500271484;7038308.614129584;166.999679565;524.4731275722417
273656.99342507124;7038308.185312396;167.911972046;529.5556739390888
273652.0118474277;7038307.756495207;168.486312866;534.5885525764095
273647.03026978415;7038307.327678018;168.91355896;539.606773299387
273642.04869214055;7038306.89886083;169.229721069;544.6167591755576
273637.067114497;7038306.4700436415;169.159347534;549.6172543944444
273632.08553685347;7038306.041226453;168.864334106;554.6259501251095
273627.1039592099;7038305.612409265;168.45300293;559.6428409287878
273622.1223815663;7038305.1835920755;167.904220581;564.6728669791811
273617.1408039228;7038304.754774887;167.797988892;569.6739953689977
273612.15922627924;7038304.325957699;167.332717896;574.6955964184042
273607.17764863564;7038303.89714051;166.901382446;579.7141669589754
273602.1960709921;7038303.468323322;166.569641113;584.7251601052193
273597.21449334855;7038303.039506133;166.667755127;589.7261226485928
273592.23291570495;7038302.610688944;166.092514038;594.7591041020393
273587.2513380614;7038302.181871756;165.335693359;599.8160574872154
273582.26976041787;7038301.753054568;165.055114746;604.8239237352052
273577.28818277427;7038301.324237379;164.757598877;609.8327674832741
273572.3066051307;7038300.895420191;164.657592773;614.8337675053216
273567.3250274872;7038300.466603002;164.680679321;619.8338208039554
273562.34344984364;7038300.037785813;164.51159668;624.836678881012
273557.36187220004;7038299.608968625;164.719619751;629.8410043698597
273552.3802945565;7038299.1801514365;164.608612061;634.8422364887401
273547.39871691295;7038298.751334248;164.652603149;639.8424300065458
273542.41713926935;7038298.32251706;164.67225647;644.8424686317254
273537.4355616258;7038297.89369987;164.705291748;649.8425777635417
273532.45398398227;7038297.464882682;164.472915649;654.847974715939
273527.47240633867;7038297.036065494;164.998428345;659.8755152273541
273522.4908286951;7038296.607248305;165.810302734;664.9410003989044
273517.5092510516;7038296.178431117;165.065628052;669.9961502860684
273512.52767340804;7038295.749613928;164.976303101;674.9969481171502
273507.54609576444;7038295.320796739;164.616943359;680.009845425537
273502.5645181209;7038294.891979551;164.525985718;685.0106726863148
273497.58294047735;7038294.463162363;164.411010742;690.0119944360914
273492.60136283375;7038294.034345174;164.239608765;695.0149314372919
273487.6197851902;7038293.605527986;164.207458496;700.0150348001714
273482.63820754667;7038293.176710797;164.067504883;705.0169931180977
273477.65662990307;7038292.747893608;163.905197144;710.0196268047074
273472.6750522595;7038292.31907642;162.659042358;715.1725775856049
273467.693474616;7038291.890259231;163.705657959;720.2809436860267
273462.7118969724;7038291.461442043;163.876663208;725.2838671109301
273457.73031932884;7038291.032624854;164.210372925;730.2949909545107
273452.7487416853;7038290.603807665;164.438583374;735.3001962458764
273447.76716404175;7038290.174990477;164.716171265;740.3078958212215
273442.78558639815;7038289.746173289;165.54196167;745.3756300085336
273437.8040087546;7038289.3173561;165.890655518;750.3877740008103
273432.82243111107;7038288.888538912;165.914016724;755.3878285750752
273427.84085346747;7038288.459721723;166.069610596;760.3902489346676
273422.8592758239;7038288.030904534;166.046768188;765.3903011119239
273417.8776981804;7038287.602087346;166.014022827;770.3904083366091
273412.8961205368;7038287.173270158;165.979995728;775.3905241196413
273407.91454289324;7038286.744452969;167.348693848;780.5744738245838
273402.9329652497;7038286.315635781;167.450027466;785.5755005693453
273397.95138760615;7038285.8868185915;167.886016846;790.5944732470906
273392.96980996255;7038285.458001403;168.577453613;795.6420553220074
273387.988232319;7038285.029184215;169.345672607;800.7007271261892
273383.00665467547;7038284.600367026;169.975646973;805.740257630264
273378.02507703187;7038284.171549838;170.640808105;810.7843075241276
273373.0434993883;7038283.742732649;171.154418945;815.8106179100316
273368.0619217448;7038283.31391546;171.937408447;820.8715538471804
273363.0803441012;7038282.885098272;172.171401978;825.877026149852
273358.09876645764;7038282.456281084;172.495285034;830.8875051921838
273353.1171888141;7038282.027463895;172.77142334;835.8951246229834
273348.13561117055;7038281.598646707;172.787231445;840.8951496125076
273343.15403352695;7038281.169829518;172.756820679;845.8952420932272
273338.1724558834;7038280.741012329;172.610671997;850.8973775808897
273333.19087823987;7038280.312195141;172.463058472;855.8995560815478
273328.20930059627;7038279.8833779525;172.032684326;860.9180440914773
273323.2277229527;7038279.454560764;171.85043335;865.9213645307392
273318.2461453092;7038279.025743576;171.652420044;870.9252839214803
273313.2645676656;7038278.5969263865;171.15234375;875.9502293242565
273308.28299002204;7038278.168109198;171.008621216;880.9522945144016
273303.3014123785;7038277.73929201;170.821121216;885.9558089042762
273298.3198347349;7038277.310474821;170.652236938;890.9586602812029
273293.33825709135;7038276.881657633;170.359039307;895.9672493889763
273288.3566794478;7038276.452840444;169.897262573;900.9885278867838
273283.37510180427;7038276.024023255;169.864639282;905.988634313531
273278.39352416067;7038275.595206067;169.714202881;910.9908969126963
273273.4119465171;7038275.166388879;169.741241455;915.9909700205784
273268.4303688736;7038274.73757169;169.893356323;920.9932833786908
273263.44879123;7038274.308754502;169.888946533;925.9932853233414
273258.46721358644;7038273.879937313;169.684036255;930.9974823840606
273253.4856359429;7038273.451120124;170.097579956;936.0145550756129
273248.5040582993;7038273.022302936;170.412460327;941.0244602292363
273243.52248065575;7038272.593485747;171.630706787;946.1707330977291
273238.5409030122;7038272.164668559;172.832107544;951.3130442297594
273233.55932536867;7038271.735851371;174.700775146;956.6508264102578
273228.57774772507;7038271.307034181;175.789123535;961.7679058719135
273223.5961700815;7038270.878216993;176.618484497;966.8362231079369
273218.614592438;7038270.449399805;176.561401367;971.8365489456612
273213.6330147944;7038270.020582616;176.467056274;976.8374389661311
273208.65143715084;7038269.591765428;176.747894287;981.8453197543715
273203.6698595073;7038269.162948239;177.07635498;986.8560967826703
273198.6882818637;7038268.73413105;177.267547607;991.8597509094941
273193.70670422015;7038268.305313862;177.503936768;996.865335773935
273188.7251265766;7038267.876496674;177.728500366;1001.8703761143548
273183.743548933;7038267.447679485;177.719284058;1006.8703846084071
273178.76197128947;7038267.018862297;177.430496216;1011.8787175064251
273173.7803936459;7038266.5900451075;177.022979736;1016.8952969867038
273168.7988160024;7038266.161227919;175.926086426;1022.0142006714008
273163.8172383588;7038265.732410731;177.028427124;1027.134274402777
273158.83566071524;7038265.303593542;177.324920654;1032.1430575297466
273153.8540830717;7038264.874776354;177.111495972;1037.1476104662804
273148.8725054281;7038264.445959166;177.202651978;1042.1484413390147
273143.89092778455;7038264.017141976;177.330184937;1047.1500675401728
273138.909350141;7038263.588324788;177.111541748;1052.1548457414299
273133.9277724974;7038263.1595076;176.829208374;1057.1628106109488
273128.94619485387;7038262.730690411;176.414581299;1062.1799727182565
273123.9646172103;7038262.301873223;175.945419312;1067.2019357776317
273118.9830395668;7038261.873056034;175.768157959;1072.2050769497102
273114.0014619232;7038261.444238845;175.829925537;1077.2054584585508
273109.01988427964;7038261.015421657;175.387161255;1082.2250241976458
273104.0383066361;7038260.5866044685;175.662261963;1087.2325865186983
273099.0567289925;7038260.15778728;175.899841309;1092.2382277309616
273094.07515134895;7038259.728970092;176.153686523;1097.244667323362
273089.0935737054;7038259.3001529025;176.560623169;1102.2611997347333
273084.1119960618;7038258.871335714;177.117507935;1107.2921162161376
273079.13041841827;7038258.442518526;177.533416748;1112.3093844111231
273074.1488407747;7038258.013701337;177.967681885;1117.3282076007658
273069.1672631311;7038257.584884149;178.205764771;1122.3338727374753
273064.1856854876;7038257.156066961;177.809951782;1127.3495150614397
273059.20410784404;7038256.727249771;177.973937988;1132.3522034863008
273054.2225302005;7038256.298432583;179.746231079;1137.6570147741875
273049.2409525569;7038255.869615395;179.684799194;1142.657392147622
273044.25937491335;7038255.440798206;179.068527222;1147.695228105963
273039.2777972698;7038255.011981018;179.530044556;1152.7164827548795
273034.2962196262;7038254.583163829;179.561767578;1157.7165833889853
273029.31464198267;7038254.15434664;179.56048584;1162.7165835532387
273024.3330643391;7038253.725529452;180.017486572;1167.7374250831747
273019.3514866955;7038253.2967122635;182.581069946;1173.356318187311
273014.369909052;7038252.867895075;183.62046814;1178.4632104522186
273009.38833140844;7038252.439077887;183.505477905;1183.4645325528063
273004.4067537649;7038252.010260697;183.801818848;1188.4733066498263
272999.4251761213;7038251.581443509;184.096847534;1193.4820032792725
272994.44359847775;7038251.152626321;184.153915405;1198.482328942825
272989.4620208342;7038250.723809132;184.93347168;1203.5427348539722
272984.4804431906;7038250.294991944;185.160629272;1208.547892251284
272979.49886554707;7038249.866174755;186.054885864;1213.627232252979
272974.5172879035;7038249.437357566;186.460632324;1218.6436682577023
272969.5357102599;7038249.008540378;186.497802734;1223.6438064197575
272964.5541326164;7038248.57972319;186.911239624;1228.6608703082977
272959.57255497284;7038248.150906001;187.072814941;1233.6634802853744
272954.59097732924;7038247.722088813;186.427154541;1238.7049956679145
272949.6093996857;7038247.293271624;185.050216675;1243.891126970466
272944.62782204215;7038246.864454435;184.79473877;1248.8976496119435
272939.6462443986;7038246.435637247;183.415847778;1254.0842998187245
272934.664666755;7038246.006820058;181.341384888;1259.4975609691078
272929.68308911147;7038245.57800287;180.275756836;1264.6098562603534
272924.7015114679;7038245.149185682;178.590362549;1269.886271132436
272919.7199338243;7038244.720368492;177.048706055;1275.118546425896
272914.7383561808;7038244.291551304;176.181915283;1280.1931228852773
272909.75677853724;7038243.862734116;176.120666504;1285.1934980124663
272904.77520089364;7038243.433916927;176.455215454;1290.2046778136917
272899.7936232501;7038243.005099739;176.894775391;1295.2239619198065
272894.81204560655;7038242.57628255;177.591766357;1300.2723078278407
272889.830467963;7038242.147465361;177.67741394;1305.2730413248544
272884.8488903194;7038241.718648173;177.596817017;1310.2736908690895
272879.86731267587;7038241.289830985;178.673736572;1315.3883517305371
272874.8857350323;7038240.861013796;179.050720215;1320.4025432572712
272869.9041573887;7038240.432196608;179.287658691;1325.4081540932902
272864.9225797452;7038240.0033794185;179.576507568;1330.4164905111265
272859.94100210164;7038239.57456223;179.922119141;1335.4284210133455
272854.95942445804;7038239.145745042;180.614715576;1340.4761620746558
272849.9778468145;7038238.716927853;182.037963867;1345.6747807082465
272844.99626917095;7038238.288110665;182.183959961;1350.6769117400315
272840.01469152735;7038237.859293477;182.269332886;1355.677640540575
272835.0331138838;7038237.430476287;182.540618896;1360.6849947421174
272830.05153624027;7038237.001659099;182.749176025;1365.6893424594266
272825.0699585967;7038236.572841911;182.818664551;1370.6898253016057
272820.0883809531;7038236.144024722;183.949401855;1375.8160877657133
272815.1068033096;7038235.715207534;185.191390991;1380.9680327395677
272810.12522566604;7038235.286390345;185.142959595;1385.968267294126
272805.14364802244;7038234.857573156;185.047607422;1390.9691764151917
272800.1620703789;7038234.428755968;185.256439209;1395.9735355864486
272795.18049273535;7038233.9999387795;185.296096802;1400.9736928564116
272790.19891509175;7038233.571121591;186.202316284;1406.0551526614104
272785.2173374482;7038233.142304403;186.790161133;1411.0895902234602
272780.23575980467;7038232.7134872135;187.366653442;1416.1227148377347
272775.2541821611;7038232.284670025;188.296783447;1421.2084932271146
272770.2726045175;7038231.855852837;188.53465271;1426.214148207888
272765.291026874;7038231.427035648;188.877746582;1431.225905724437
272760.30944923044;7038230.99821846;188.582351685;1436.2346239381975
272755.32787158684;7038230.569401272;188.954071045;1441.2484224266552
272750.3462939433;7038230.140584082;189.302398682;1446.2605409551
272745.36471629975;7038229.711766894;189.618438721;1451.2705191292973
272740.38313865615;7038229.282949706;189.953125;1456.2817081005508
272735.4015610126;7038228.854132517;190.08605957;1461.283474948334
272730.41998336907;7038228.425315329;189.504959106;1466.3171294606088
272725.43840572546;7038227.99649814;187.263763428;1471.796450410156
272720.4568280819;7038227.567680951;187.129776001;1476.7982453510024
272715.4752504384;7038227.138863763;187.021194458;1481.7994242071484
272710.49367279484;7038226.7100465745;187.073318481;1486.7996958911128
272705.51209515124;7038226.281229386;186.586624146;1491.8233271849065
272700.5305175077;7038225.852412198;185.58102417;1496.923447900283
272695.54893986415;7038225.423595008;183.583358765;1502.307746096967
272690.56736222055;7038224.99477782;182.233276367;1507.4868118893328
272685.585784577;7038224.565960632;181.366363525;1512.561409200973
272680.60420693347;7038224.137143443;181.064529419;1517.5705112988771
272675.62262928986;7038223.708326255;180.808349609;1522.5770698070057
